DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2023-07-20 12:54:03,98,231,0,1223.264,895.483,115.5,1159,133864.5,0,19.571,118.238,657.307
2023-07-20 12:54:05,98,318,0,637.192,356.079,159,1159,184281,0,0.34,19.129,597.016
2023-07-20 12:54:07,98,265,0,674.732,279.179,132.5,1159,153567.5,0,0.645,21.143,660.113
2023-07-20 12:54:09,98,295,0,703.79,336.682,147.5,1159,170952.5,0,0.559,20.644,691.278
2023-07-20 12:54:11,98,273,0,700.088,357.845,136.5,1159,158203.5,0,0.337,17.645,690.549
2023-07-20 12:54:13,98,257,0,765.331,419.646,128.5,1159,148931.5,0,54.891,67.798,755.506
2023-07-20 12:54:15,98,257,0,594.374,285.867,128.5,1159,148931.5,0,0.389,16.082,585.514
2023-07-20 12:54:17,98,340,0,632.171,321.855,170,1159,197030,0,0.156,20.718,623.594
2023-07-20 12:54:19,98,250,0,686.872,412.775,125,1159,144875,0,0.092,15.304,674.608
2023-07-20 12:54:21,98,324,0,632.66,315.038,162,1159,187758,0,0.247,20.725,619.509
2023-07-20 12:54:23,98,298,0,682.94,341.497,149,1159,172691,0,0.07,16.554,674.423
2023-07-20 12:54:25,98,251,0,606.275,304.306,125.5,1159,145454.5,0,0.653,15.339,598.936
2023-07-20 12:54:27,98,315,0,677.956,343.594,157.5,1159,182542.5,0,0.105,15.911,670.638
2023-07-20 12:54:29,98,345,0,536.484,237.229,172.5,1159,199927.5,0,0.258,18.701,527.493
2023-07-20 12:54:32,98,349,0,591.782,235.694,174.5,1159,202245.5,0,1.599,21.765,579.562
2023-07-20 12:54:34,98,430,0,438.107,223.693,215,1159,249185,0,6.179,20.547,420.542
2023-07-20 12:54:36,98,443,0,484.984,246.97,221.5,1159,256718.5,0,0.111,19.278,474.648
2023-07-20 12:54:38,98,416,0,401.659,179.35,208,1159,241072,0,0.041,17.173,394.26
